ID,学历,身高,购车,月薪,住房,体重,星座,民族,属相,血型,年龄,婚姻,文件名
165821624,硕士,172cm,暂未购车,5000～10000元,暂未购房,58公斤,狮子座,汉族,猴,B型,26岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
80025409,本科,168cm,暂未购车,2000～5000元,暂未购房,108公斤,白羊座,汉族,猴,B型,26岁,未婚,一见钟情 男 31岁 5k-10k.xlsx
44375764,大专,163cm,暂未购车,2000～5000元,独自租房,48公斤,处女座,汉族,兔,O型,31岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
32720933,本科,158cm,--,2000～5000元,--,--,水瓶座,汉族,兔,A型,31岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
183445654,本科,170cm,--,5000～10000元,--,--,双鱼座,--,龙,--,30岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
28009803,高中中专及以下,162cm,暂未购车,5000～10000元,与父母同住,65公斤,处女座,汉族,兔,其它,31岁,"离异,有小孩归自己",一见钟情 男 31岁 20k-50k.xlsx
36548768,本科,168cm,暂未购车,10000～20000元,独自租房,55公斤,天秤座,汉族,蛇,A型,29岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
159592187,本科,165cm,已经购车,2000元以下,已购住房,55公斤,射手座,汉族,羊,O型,26岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
39094709,本科,168cm,暂未购车,2000～5000元,与父母同住,66公斤,双鱼座,汉族,蛇,O型,29岁,"离异,有小孩归自己",一见钟情 男 31岁 20k-50k.xlsx
26732658,大专,168cm,暂未购车,5000～10000元,独自租房,--,射手座,汉族,兔,--,30岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
25582233,大专,167cm,暂未购车,10000～20000元,与父母同住,49公斤,双鱼座,汉族,兔,O型,31岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
57172225,大专,170cm,暂未购车,2000～5000元,住单位房,53公斤,双鱼座,汉族,兔,O型,31岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
42505582,本科,163cm,--,2000～5000元,与父母同住,50公斤,天蝎座,汉族,龙,B型,30岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
183149001,本科,160cm,暂未购车,5000～10000元,与父母同住,63公斤,白羊座,汉族,狗,O型,24岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
44119311,本科,166cm,暂未购车,10000～20000元,独自租房,47公斤,狮子座,汉族,龙,A型,30岁,未婚,一见钟情 男 31岁 20k-50k.xlsx
183489235,本科,170cm,--,5000～10000元,--,--,白羊座,--,鸡,--,37岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
181311770,本科,160cm,暂未购车,2000～5000元,与人合租,51公斤,双子座,苗族,龙,AB型,30岁,"离异,有小孩归对方",打开页面自动推荐 男 43岁 5k-10k.xlsx
69009771,大专,162cm,暂未购车,2000～5000元,暂未购房,53公斤,射手座,汉族,龙,A型,29岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
17975566,大专,160cm,暂未购车,5000～10000元,暂未购房,55公斤,射手座,汉族,马,O型,39岁,"离异,无小孩",打开页面自动推荐 男 43岁 5k-10k.xlsx
17222758,本科,156cm,暂未购车,2000元以下,与人合租,--,白羊座,汉族,牛,A型,33岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
16384124,本科,155cm,--,2000～5000元,--,42公斤,双鱼座,汉族,鸡,--,37岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
16105273,大专,172cm,--,5000～10000元,与父母同住,55公斤,天蝎座,--,猪,--,34岁,"离异,无小孩",打开页面自动推荐 男 43岁 5k-10k.xlsx
14735828,大专,165cm,暂未购车,2000～5000元,住单位房,--,狮子座,满族,马,A型,40岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
12556736,本科,166cm,暂未购车,10000～20000元,与父母同住,55公斤,水瓶座,汉族,狗,A型,36岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
2543304,本科,160cm,暂未购车,2000元以下,暂未购房,48公斤,天秤座,汉族,马,O型,40岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183562504,本科,168cm,需要时购置,10000～20000元,暂未购房,--,天蝎座,汉族,虎,B型,32岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183529090,本科,160cm,已购车（中档型）,10000～20000元,已购房（无贷款）,--,处女座,--,兔,--,43岁,离异,打开页面自动推荐 男 43岁 5k-10k.xlsx
183484245,本科,170cm,--,5000～10000元,--,--,双子座,--,龙,--,42岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183484244,本科,166cm,--,5000～10000元,--,--,处女座,--,羊,--,27岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
177386583,本科,165cm,已购车（经济型）,2000～5000元,独自租房,58公斤,白羊座,汉族,蛇,B型,29岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
162309261,本科,163cm,暂未购车,5000～10000元,暂未购房,53公斤,双子座,汉族,虎,保密,32岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
137021320,大专,160cm,暂未购车,5000～10000元,暂未购房,--,天蝎座,汉族,狗,A型,36岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
118030328,本科,155cm,暂未购车,2000～5000元,住亲朋家,42公斤,狮子座,汉族,虎,--,32岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
101766370,本科,162cm,暂未购车,5000～10000元,独自租房,49公斤,双鱼座,汉族,蛇,A型,29岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
87373349,硕士,160cm,已经购车,10000～20000元,已购住房,50公斤,双鱼座,汉族,蛇,O型,41岁,"离异,有小孩归自己",打开页面自动推荐 男 43岁 5k-10k.xlsx
55319240,本科,163cm,暂未购车,5000～10000元,暂未购房,50公斤,处女座,汉族,马,O型,40岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
19322715,硕士,169cm,暂未购车,10000～20000元,暂未购房,--,金牛座,汉族,狗,A型,36岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
16306926,本科,158cm,已购车（中档型）,10000～20000元,暂未购房,51公斤,金牛座,汉族,狗,O型,36岁,"离异,无小孩",打开页面自动推荐 男 43岁 5k-10k.xlsx
2206064,本科,167cm,--,10000～20000元,住单位房,50公斤,天蝎座,汉族,龙,O型,42岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183489302,本科,170cm,--,5000～10000元,--,--,水瓶座,--,鼠,--,34岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183452981,本科,170cm,--,5000～10000元,--,--,金牛座,--,猴,--,38岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183451614,本科,170cm,--,5000～10000元,--,--,白羊座,--,鼠,--,34岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183412991,本科,170cm,--,5000～10000元,--,--,射手座,--,鼠,--,33岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183412007,本科,170cm,--,5000～10000元,--,--,金牛座,--,鼠,--,34岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183409629,本科,162cm,--,5000～10000元,--,--,巨蟹座,--,猪,--,23岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
183405737,本科,170cm,--,5000～10000元,--,--,天蝎座,--,兔,--,31岁,未婚,打开页面自动推荐 男 43岁 5k-10k.xlsx
